id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,stats,tags,description
6833401,218472174,Musée des Amis de Thann,,Rue du Parc,68470,Husseren-Wesserling,France,fr,open,47.885102,6.996263986308496,,,,2018,payant:466;gratuit:1360;label-date:01/02/2003,label:musee de france,
5144501,418187,Ecomusée de la Montagne de Reims,,,51480,Pourcy,France,fr,closed,49.1574346,3.9081058,,,,2018,payant:0;gratuit:0;label-date:01/02/2003,label:musee de france,
5145401,733881096,Musée des Beaux-Arts de Saint-Denis,,,51100,Reims,France,fr,open,49.252981500000004,4.030427080857688,,,,2018,payant:47031;gratuit:0;label-date:06/01/2002,label:musee de france,
5427401,99542401,Musée de l'Histoire du Fer,,Avenue Général de Gaulle,54140,Jarville-la-Malgrange,France,fr,open,48.666507499999994,6.208713471590913,,,,2018,payant:6125;gratuit:13634;label-date:01/02/2003,label:musee de france,
5763001,2351192125,Musée du Pays de Sarrebourg,,Rue de la Paix,57400,Sarrebourg,France,fr,open,48.7352213,7.05534,,,,2018,payant:8233;gratuit:8391;label-date:01/02/2003,label:musee de france,
8838302,2582715284,Musée Charles Friry,12,Rue du Général Humbert,88200,Remiremont,France,fr,open,48.0151071,6.5897788,,,,2018,payant:495;gratuit:1145;label-date:11/08/2002,label:musee de france,
8838301,5390940587,Musée Charles de Bruyères,,Rue Charles de Gaulle,88200,Remiremont,France,fr,open,48.0161212,6.593241,,,,2018,payant:445;gratuit:1399;label-date:11/08/2002,label:musee de france,
9711701,1965845057,Musée Précolombien Edgar Clerc,,Route de la Plante,97160,Le Moule,France,fr,open,16.3396546,-61.3771244,,,,2018,payant:0;gratuit:11030;label-date:01/02/2003,label:musee de france,
0236102,1418418104,Familistère de Guise,,Cité Familistère,02120,Guise,France,fr,open,49.9045566,3.6252747,,,,2018,payant:62312;gratuit:3584;label-date:01/02/2003,label:musee de france,
0240802,202812175,Musée d'Art et d'Archéologie,,Rue des Moulins,02250,Marle,France,fr,open,49.7417279,3.771423276198486,,,,2018,payant:1430;gratuit:4420;label-date:01/02/2003,label:musee de france,
0269102,,Musée des Beaux-Arts Antoine Lecuyer,,,,SAINT-QUENTIN,France,fr,open,,,,,,2018,payant:2597;gratuit:9789;label-date:01/02/2003,label:musee de france,
0273801,173604154,Musée de la Résistance et de la Déportation,,Rue Gouillard Marcel,02700,Tergnier,France,fr,open,49.6585145,3.3158500983088235,,,,2018,payant:3378;gratuit:700;label-date:01/02/2003,label:musee de france,
0281001,2306316571,Musée Alexandre Dumas,,Rue Démoustier,02600,Villers-Cotterêts,France,fr,open,49.2530103,3.0896156,,,,2018,payant:917;gratuit:994;label-date:01/02/2003,label:musee de france,
5913501,5918815893,Musée Départemental de Flandre,,Grand Place,59670,Cassel,France,fr,open,50.7996394,2.4862076,,,,2018,payant:28900;gratuit:15628;label-date:01/02/2003,label:musee de france,
5935004,7818582178,Musée de l'Hospice Comtesse,,Rue de la Monnaie,59021,Lille,France,fr,open,50.6411688,3.0632054,,,,2018,payant:21140;gratuit:34654;label-date:01/02/2003,label:musee de france,
